Date,Station,Depth,Calculated Chlorophyll,Calculated Oxygen,Calculated SPM,Calculated Extinction Coefficient,Salinity,Temperature,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate
1/9/2007,29.5,2.0,4.6,8.8, 23,,27.80,9.84,,,,,
1/9/2007,29.5,3.0,4.5,8.8, 25,,27.82,9.86,,,,,
1/9/2007,29.5,4.0,4.5,8.8, 26,,27.86,9.85,,,,,
1/9/2007,29.5,5.0,4.5,8.8, 30,,27.92,9.85,,,,,
1/9/2007,29.5,6.0,4.5,8.8, 35,,27.94,9.86,,,,,
1/9/2007,29.5,7.0,4.5,8.8, 38,,27.94,9.86,,,,,
1/9/2007,29.5,8.0,4.6,8.8, 38,,27.95,9.86,,,,,
1/9/2007,29.5,9.0,4.7,8.8, 44,,27.97,9.88,,,,,
1/9/2007,29.5,10.0,4.8,8.8, 47,,27.97,9.89,,,,,
1/9/2007,29.5,11.0,4.8,8.8, 49,,27.98,9.90,,,,,
1/9/2007,29.5,12.0,4.9,8.8, 48,,27.98,9.90,,,,,
1/9/2007,29.5,13.0,5.0,8.8, 55,,27.98,9.90,,,,,
1/9/2007,29.5,14.0,5.0,8.8, 65,,27.99,9.91,,,,,
1/9/2007,29.0,1.0,4.3,8.7, 17,,27.88,9.72,,,,,
1/9/2007,29.0,2.0,4.3,8.8, 18,,27.91,9.71,,,,,
1/9/2007,29.0,3.0,4.2,8.8, 19,,27.93,9.72,,,,,
1/9/2007,29.0,4.0,4.1,8.8, 19,,27.95,9.73,,,,,
1/9/2007,29.0,5.0,4.0,8.8, 20,,27.96,9.74,,,,,
1/9/2007,29.0,6.0,4.0,8.7, 22,,27.97,9.77,,,,,
1/9/2007,29.0,7.0,4.0,8.7, 24,,28.00,9.83,,,,,
1/9/2007,29.0,8.0,4.1,8.7, 26,,28.02,9.86,,,,,
1/9/2007,29.0,9.0,4.1,8.7, 29,,28.05,9.88,,,,,
1/9/2007,29.0,10.0,4.2,8.7, 34,,28.06,9.88,,,,,
1/9/2007,29.0,11.0,4.3,8.7, 40,,28.07,9.88,,,,,
1/9/2007,29.0,12.0,4.4,8.7, 42,,28.07,9.88,,,,,
1/9/2007,29.0,13.0,4.4,8.7, 40,,28.08,9.88,,,,,
1/9/2007,29.0,14.0,4.6,8.7, 49,,28.08,9.88,,,,,
1/9/2007,29.0,15.0,4.6,8.7, 69,,28.08,9.88,,,,,
1/9/2007,28.0,1.0,4.3,8.8, 22,,28.02,9.71,,,,,
1/9/2007,28.0,2.0,4.3,8.8, 25,,28.04,9.75,,,,,
1/9/2007,28.0,3.0,4.2,8.8, 26,,28.08,9.79,,,,,
1/9/2007,28.0,4.0,4.1,8.8, 28,,28.11,9.79,,,,,
1/9/2007,28.0,5.0,4.1,8.8, 28,,28.13,9.82,,,,,
1/9/2007,28.0,6.0,4.0,8.8, 30,,28.15,9.84,,,,,
1/9/2007,28.0,7.0,4.0,8.8, 32,,28.15,9.84,,,,,
1/9/2007,28.0,8.0,4.0,8.8, 33,,28.16,9.84,,,,,
1/9/2007,28.0,9.0,4.0,8.8, 35,,28.16,9.85,,,,,
1/9/2007,28.0,10.0,4.1,8.8, 39,,28.17,9.85,,,,,
1/9/2007,28.0,11.0,4.2,8.8, 42,,28.18,9.86,,,,,
1/9/2007,28.0,12.0,4.3,8.8, 46,,28.18,9.87,,,,,
1/9/2007,28.0,13.0,4.4,8.8, 48,,28.18,9.87,,,,,
1/9/2007,28.0,14.0,4.4,8.8, 52,,28.19,9.89,,,,,
1/9/2007,27.0,1.0,4.0,8.7, 19,,28.22,9.80,,,,,
1/9/2007,27.0,2.0,4.0,8.7, 22,,28.23,9.82,,45.76,10.55,5.64,96.09
1/9/2007,27.0,3.0,3.9,8.8, 22,,28.22,9.81,,,,,
1/9/2007,27.0,4.0,3.8,8.8, 22,,28.23,9.83,,,,,
1/9/2007,27.0,5.0,3.7,8.7, 24,,28.26,9.87,,,,,
1/9/2007,27.0,6.0,3.7,8.7, 25,,28.26,9.88,,,,,
1/9/2007,27.0,7.0,3.7,8.7, 27,,28.28,9.90,,,,,
1/9/2007,27.0,8.0,3.7,8.7, 29,,28.29,9.91,,,,,
1/9/2007,27.0,9.0,3.8,8.7, 31,,28.29,9.91,,,,,
1/9/2007,27.0,10.0,3.8,8.7, 32,,28.30,9.92,,,,,
1/9/2007,27.0,11.0,3.9,8.7, 34,,28.30,9.92,,,,,
1/9/2007,27.0,12.0,3.9,8.7, 33,,28.30,9.92,,,,,
1/9/2007,26.0,1.0,3.7,8.7, 18,,28.30,9.82,,,,,
1/9/2007,26.0,2.0,3.7,8.7, 19,,28.31,9.86,,,,,
1/9/2007,26.0,3.0,3.6,8.7, 20,,28.36,9.93,,,,,
1/9/2007,26.0,4.0,3.5,8.7, 21,,28.37,9.96,,,,,
1/9/2007,26.0,5.0,3.5,8.7, 22,,28.38,9.97,,,,,
1/9/2007,26.0,6.0,3.5,8.7, 22,,28.39,9.98,,,,,
1/9/2007,26.0,7.0,3.5,8.7, 23,,28.40,10.00,,,,,
1/9/2007,26.0,8.0,3.5,8.7, 26,,28.40,10.01,,,,,
1/9/2007,26.0,9.0,3.5,8.7, 27,,28.41,10.02,,,,,
1/9/2007,26.0,10.0,3.5,8.7, 29,,28.42,10.04,,,,,
1/9/2007,25.0,1.0,3.9,8.7, 23,,28.38,9.96,,,,,
1/9/2007,25.0,2.0,3.9,8.7, 23,,28.38,9.98,,,,,
1/9/2007,25.0,3.0,3.9,8.7, 26,,28.39,9.99,,,,,
1/9/2007,25.0,4.0,3.8,8.7, 28,,28.41,10.02,,,,,
1/9/2007,25.0,5.0,3.7,8.7, 31,,28.42,10.04,,,,,
1/9/2007,25.0,6.0,3.7,8.7, 33,,28.43,10.05,,,,,
1/9/2007,25.0,7.0,3.7,8.6, 35,,28.43,10.06,,,,,
1/9/2007,25.0,8.0,3.7,8.6, 38,,28.44,10.07,,,,,
1/9/2007,24.0,1.0,3.2,8.6, 22,,28.65,10.27,,,,,
1/9/2007,24.0,2.0,3.2,8.6, 23,,28.65,10.27,,35.40,10.62,4.04,77.22
1/9/2007,24.0,3.0,3.2,8.6, 23,,28.65,10.27,,,,,
1/9/2007,24.0,4.0,3.1,8.6, 24,,28.65,10.27,,,,,
1/9/2007,24.0,5.0,3.1,8.6, 26,,28.66,10.27,,,,,
1/9/2007,24.0,6.0,3.0,8.6, 26,,28.66,10.27,,,,,
1/9/2007,24.0,7.0,3.0,8.6, 27,,28.66,10.28,,,,,
1/9/2007,24.0,8.0,3.0,8.6, 27,,28.66,10.28,,,,,
1/9/2007,24.0,9.0,3.0,8.6, 28,,28.66,10.28,,,,,
1/9/2007,24.0,10.0,3.0,8.6, 28,,28.66,10.28,,,,,
1/9/2007,23.0,1.0,3.2,8.5, 31,,28.73,10.37,,,,,
1/9/2007,23.0,2.0,3.2,8.5, 35,,28.73,10.38,,,,,
1/9/2007,23.0,3.0,3.1,8.5, 35,,28.73,10.38,,,,,
1/9/2007,23.0,4.0,3.0,8.5, 33,,28.73,10.38,,,,,
1/9/2007,23.0,5.0,3.0,8.5, 34,,28.73,10.38,,,,,
1/9/2007,23.0,6.0,3.0,8.5, 37,,28.74,10.38,,,,,
1/9/2007,23.0,7.0,3.0,8.6, 39,,28.74,10.38,,,,,
1/9/2007,23.0,8.0,3.0,8.6, 38,,28.74,10.38,,,,,
1/9/2007,23.0,9.0,3.0,8.6, 39,,28.74,10.38,,,,,
1/9/2007,23.0,10.0,3.0,8.6, 38,,28.74,10.38,,,,,
1/9/2007,23.0,11.0,3.1,8.6, 40,,28.74,10.38,,,,,
1/9/2007,23.0,12.0,3.1,8.6, 39,,28.74,10.38,,,,,
1/9/2007,23.0,13.0,3.1,8.6, 39,,28.74,10.38,,,,,
1/9/2007,23.0,14.0,3.1,8.6, 40,,28.74,10.38,,,,,
1/9/2007,23.0,15.0,3.1,8.5, 41,,28.74,10.38,,,,,
1/9/2007,22.0,1.0,2.4,, 11,,28.62,10.52,,,,,
1/9/2007,22.0,2.0,2.4,, 11,,28.62,10.52,,,,,
1/9/2007,22.0,3.0,2.4,, 13,,28.64,10.49,,,,,
1/9/2007,22.0,4.0,2.4,, 14,,28.66,10.48,,,,,
1/9/2007,22.0,5.0,2.3,, 16,,28.66,10.50,,,,,
1/9/2007,22.0,6.0,2.3,, 16,,28.69,10.49,,,,,
1/9/2007,22.0,7.0,2.3,, 19,,28.70,10.49,,,,,
1/9/2007,22.0,8.0,2.3,, 20,,28.70,10.49,,,,,
1/9/2007,22.0,9.0,2.4,, 29,,28.77,10.48,,,,,
1/9/2007,22.0,10.0,2.4,, 33,,28.79,10.48,,,,,
1/9/2007,22.0,11.0,2.6,, 41,,28.81,10.48,,,,,
1/9/2007,22.0,12.0,2.7,, 47,,28.83,10.48,,,,,
1/9/2007,22.0,13.0,2.8,, 53,,28.84,10.48,,,,,
1/9/2007,22.0,14.0,2.9,, 56,,28.84,10.48,,,,,
1/9/2007,22.0,15.0,3.0,, 60,,28.85,10.48,,,,,
1/9/2007,22.0,16.0,3.1,, 67,,28.86,10.48,,,,,
1/9/2007,22.0,17.0,3.2,, 72,,28.86,10.48,,,,,
1/9/2007,22.0,18.0,3.3,, 75,,28.86,10.48,,,,,
1/9/2007,22.0,19.0,3.3,, 78,,28.86,10.48,,,,,
1/9/2007,21.0,1.0,2.2,8.5, 13,,28.59,10.44,,,,,
1/9/2007,21.0,2.0,2.2,8.5, 13,,28.59,10.44,,24.33,7.80,2.33,62.40
1/9/2007,21.0,3.0,2.2,8.5, 14,,28.60,10.43,,,,,
1/9/2007,21.0,4.0,2.3,8.5, 14,,28.59,10.44,,,,,
1/9/2007,21.0,5.0,2.3,8.5, 13,,28.60,10.43,,,,,
1/9/2007,21.0,6.0,2.3,8.5, 13,,28.61,10.43,,,,,
1/9/2007,21.0,7.0,2.3,8.5, 14,,28.61,10.44,,,,,
1/9/2007,21.0,8.0,2.3,8.5, 13,,28.62,10.44,,,,,
1/9/2007,21.0,9.0,2.4,8.5, 24,,28.74,10.42,,,,,
1/9/2007,21.0,10.0,2.4,8.5, 28,,28.75,10.42,,,,,
1/9/2007,21.0,11.0,2.5,8.5, 30,,28.76,10.42,,,,,
1/9/2007,21.0,12.0,2.6,8.5, 33,,28.78,10.42,,,,,
1/9/2007,21.0,13.0,2.6,8.5, 37,,28.80,10.42,,,,,
1/9/2007,21.0,14.0,2.7,8.5, 40,,28.81,10.41,,,,,
1/9/2007,21.0,15.0,2.7,8.5, 40,,28.81,10.41,,,,,
1/9/2007,21.0,16.0,2.7,8.5, 40,,28.82,10.41,,,,,
1/9/2007,21.0,17.0,2.8,8.5, 44,,28.83,10.41,,,,,
1/9/2007,20.0,1.0,1.8,, 12,,28.86,10.55,,,,,
1/9/2007,20.0,2.0,1.8,, 12,,28.86,10.55,,,,,
1/9/2007,20.0,3.0,1.9,, 13,,28.86,10.55,,,,,
1/9/2007,20.0,4.0,1.9,, 13,,28.88,10.54,,,,,
1/9/2007,20.0,5.0,1.9,, 13,,28.89,10.53,,,,,
1/9/2007,20.0,6.0,1.9,, 14,,28.89,10.53,,,,,
1/9/2007,20.0,7.0,1.9,, 14,,28.89,10.52,,,,,
1/9/2007,20.0,8.0,1.9,, 16,,28.91,10.50,,,,,
1/9/2007,20.0,9.0,1.9,, 18,,28.93,10.50,,,,,
1/9/2007,20.0,10.0,1.9,, 18,,28.93,10.50,,,,,
1/9/2007,20.0,11.0,1.9,, 18,,28.94,10.50,,,,,
1/9/2007,20.0,12.0,1.9,, 18,,28.94,10.51,,,,,
1/9/2007,20.0,13.0,1.9,, 16,,28.96,10.52,,,,,
1/9/2007,20.0,14.0,1.9,, 16,,28.97,10.52,,,,,
1/9/2007,20.0,15.0,1.9,, 18,,29.07,10.53,,,,,
1/9/2007,20.0,16.0,1.9,, 20,,29.10,10.53,,,,,
1/9/2007,20.0,17.0,1.9,, 21,,29.13,10.54,,,,,
1/9/2007,20.0,18.0,1.9,, 21,,29.19,10.55,,,,,
1/9/2007,20.0,19.0,1.9,, 22,,29.28,10.57,,,,,
1/9/2007,20.0,20.0,1.9,, 22,,29.35,10.57,,,,,
1/9/2007,20.0,21.0,1.9,, 21,,29.36,10.57,,,,,
1/9/2007,20.0,22.0,1.9,, 21,,29.38,10.57,,,,,
1/9/2007,20.0,23.0,1.8,, 21,,29.39,10.57,,,,,
1/9/2007,20.0,24.0,1.9,, 21,,29.40,10.57,,,,,
1/9/2007,20.0,25.0,1.9,, 22,,29.41,10.57,,,,,
1/9/2007,18.0,1.0,1.9,8.6, 12,,28.86,10.39,,,,,
1/9/2007,18.0,2.0,1.9,8.6, 12,,28.87,10.39,,22.63,5.97,2.09,58.44
1/9/2007,18.0,3.0,1.9,8.6, 13,,28.93,10.39,,,,,
1/9/2007,18.0,4.0,1.9,8.5, 13,,28.96,10.38,,,,,
1/9/2007,18.0,5.0,1.9,8.5, 13,,28.99,10.38,,,,,
1/9/2007,18.0,6.0,1.9,8.5, 12,,29.00,10.38,,,,,
1/9/2007,18.0,7.0,1.9,8.5, 13,,29.01,10.38,,,,,
1/9/2007,18.0,8.0,1.8,8.5, 12,,29.04,10.38,,,,,
1/9/2007,18.0,9.0,1.8,8.5, 12,,29.19,10.40,,,,,
1/9/2007,18.0,10.0,1.8,8.5, 12,,29.26,10.41,,,,,
1/9/2007,18.0,11.0,1.8,8.5, 13,,29.30,10.41,,,,,
1/9/2007,18.0,12.0,1.8,8.4, 12,,29.31,10.41,,,,,
1/9/2007,18.0,13.0,1.8,8.4, 13,,29.34,10.41,,,,,
1/9/2007,18.0,14.0,1.8,8.4, 13,,29.42,10.42,,,,,
1/9/2007,18.0,15.0,1.8,8.4, 13,,29.51,10.43,,,,,
1/9/2007,18.0,16.0,1.8,8.3, 13,,29.73,10.48,,,,,
1/9/2007,18.0,17.0,1.8,8.3, 14,,29.99,10.53,,,,,
1/9/2007,18.0,18.0,1.8,8.2, 15,,30.23,10.58,,,,,
1/9/2007,18.0,19.0,1.8,8.1, 16,,30.46,10.62,,,,,
1/9/2007,18.0,20.0,1.8,8.0, 19,,31.06,10.73,,,,,
1/9/2007,18.0,21.0,1.8,8.0, 22,,31.11,10.75,,,,,
1/9/2007,18.0,22.0,1.8,7.9, 22,,31.13,10.75,,,,,
1/9/2007,18.0,23.0,1.8,7.9, 22,,31.17,10.76,,,,,
1/9/2007,18.0,24.0,1.8,7.9, 23,,31.19,10.76,,,,,
1/9/2007,18.0,25.0,1.8,7.9, 24,,31.22,10.76,,,,,
1/9/2007,18.0,26.0,1.8,7.9, 26,,31.25,10.77,,,,,
1/9/2007,18.0,27.0,1.8,7.9, 26,,31.24,10.77,,,,,
1/9/2007,18.0,28.0,1.8,7.9, 26,,31.24,10.76,,,,,
1/9/2007,18.0,29.0,1.8,7.9, 26,,31.24,10.77,,,,,
1/9/2007,18.0,30.0,1.8,7.9, 26,,31.24,10.77,,,,,
1/9/2007,18.0,31.0,1.8,7.9, 26,,31.25,10.77,,,,,
1/9/2007,18.0,32.0,1.8,7.9, 27,,31.27,10.77,,,,,
1/9/2007,18.0,33.0,1.8,7.9, 27,,31.27,10.77,,,,,
1/9/2007,18.0,34.0,1.8,7.9, 27,,31.27,10.77,,,,,
1/9/2007,18.0,35.0,1.8,7.8, 27,,31.28,10.77,,,,,
1/9/2007,18.0,36.0,1.8,7.8, 28,,31.30,10.78,,,,,
1/9/2007,18.0,37.0,1.8,7.8, 28,,31.31,10.78,,,,,
1/9/2007,18.0,38.0,1.8,7.8, 30,,31.33,10.78,,,,,
1/9/2007,17.0,1.0,1.9,8.8, 19,,26.06,10.16,,,,,
1/9/2007,17.0,2.0,1.9,8.7, 17,,26.80,10.25,,,,,
1/9/2007,17.0,3.0,1.9,8.6, 15,,27.58,10.34,,,,,
1/9/2007,17.0,4.0,1.9,8.5, 15,,28.26,10.42,,,,,
1/9/2007,17.0,5.0,1.9,8.5, 14,,28.41,10.45,,,,,
1/9/2007,17.0,6.0,1.9,8.4, 14,,28.63,10.47,,,,,
1/9/2007,17.0,7.0,1.9,8.4, 15,,29.13,10.52,,,,,
1/9/2007,17.0,8.0,1.9,8.3, 17,,29.38,10.55,,,,,
1/9/2007,17.0,9.0,1.9,8.2, 17,,29.61,10.58,,,,,
1/9/2007,17.0,10.0,1.9,8.2, 18,,29.83,10.60,,,,,
1/9/2007,17.0,11.0,1.9,8.2, 18,,29.92,10.61,,,,,
1/9/2007,17.0,12.0,1.9,8.2, 19,,29.94,10.62,,,,,
1/9/2007,17.0,13.0,1.9,8.1, 19,,30.00,10.63,,,,,
1/9/2007,16.0,1.0,2.0,9.1, 23,,24.06,9.82,,,,,
1/9/2007,16.0,2.0,2.0,9.0, 21,,25.19,9.95,,,,,
1/9/2007,16.0,3.0,2.0,8.8, 20,,26.32,10.12,,,,,
1/9/2007,16.0,4.0,2.0,8.7, 18,,27.19,10.26,,,,,
1/9/2007,16.0,5.0,1.9,8.6, 18,,27.45,10.30,,,,,
1/9/2007,16.0,6.0,2.0,8.6, 33,,27.90,10.36,,,,,
1/9/2007,16.0,7.0,2.0,8.5, 43,,28.10,10.39,,,,,
1/9/2007,16.0,8.0,2.1,8.5, 52,,28.29,10.42,,,,,
1/9/2007,16.0,9.0,2.1,8.5, 55,,28.35,10.43,,,,,
1/9/2007,16.0,10.0,2.1,8.5, 48,,28.36,10.43,,,,,
1/9/2007,16.0,11.0,2.1,8.4, 53,,28.50,10.45,,,,,
1/9/2007,16.0,12.0,2.1,8.4, 55,,28.56,10.46,,,,,
1/9/2007,16.0,13.0,2.1,8.4, 55,,28.55,10.45,,,,,
1/9/2007,15.0,1.0,2.1,9.4, 34,,20.81,9.63,,,,,
1/9/2007,15.0,2.0,2.1,9.3, 28,,21.89,9.65,,31.56,9.92,2.43,123.68
1/9/2007,15.0,3.0,2.0,9.3, 28,,22.36,9.66,,,,,
1/9/2007,15.0,4.0,2.0,9.2, 28,,23.47,9.80,,,,,
1/9/2007,15.0,5.0,2.0,9.1, 22,,24.52,10.00,,,,,
1/9/2007,15.0,6.0,2.0,8.9, 18,,25.45,10.11,,,,,
1/9/2007,15.0,7.0,1.9,8.8, 17,,26.25,10.23,,,,,
1/9/2007,15.0,8.0,1.9,8.7, 18,,26.59,10.26,,,,,
1/9/2007,15.0,9.0,1.9,8.7, 19,,26.94,10.30,,,,,
1/9/2007,15.0,10.0,1.9,8.6, 20,,27.23,10.34,,,,,
1/9/2007,15.0,11.0,1.9,8.6, 23,,27.45,10.37,,,,,
1/9/2007,15.0,12.0,1.9,8.5, 24,,27.61,10.38,,,,,
1/9/2007,15.0,13.0,1.9,8.5, 24,,27.73,10.39,,,,,
1/9/2007,15.0,14.0,1.9,8.5, 24,,27.78,10.40,,,,,
1/9/2007,15.0,15.0,1.9,8.5, 25,,27.84,10.40,,,,,
1/9/2007,15.0,16.0,1.9,8.5, 24,,27.88,10.41,,,,,
1/9/2007,15.0,17.0,1.9,8.5, 25,,27.90,10.41,,,,,
1/9/2007,15.0,18.0,1.9,8.5, 25,,27.92,10.41,,,,,
1/9/2007,15.0,19.0,1.9,8.5, 24,,27.95,10.41,,,,,
1/9/2007,15.0,20.0,1.9,8.5, 24,,27.97,10.41,,,,,
1/9/2007,15.0,21.0,1.9,8.5, 24,,28.05,10.42,,,,,
1/9/2007,15.0,22.0,1.9,8.5, 32,,28.18,10.44,,,,,
1/9/2007,15.0,23.0,2.0,8.5, 46,,28.28,10.46,,,,,
1/9/2007,15.0,24.0,2.0,8.5, 49,,28.28,10.46,,,,,
1/9/2007,15.0,25.0,2.0,8.5, 62,,28.29,10.46,,,,,
1/9/2007,14.0,1.0,2.1,9.3, 33,,22.50,10.00,,,,,
1/9/2007,14.0,2.0,2.1,9.3, 35,,22.56,10.00,,,,,
1/9/2007,14.0,3.0,2.1,9.2, 31,,23.49,9.98,,,,,
1/9/2007,14.0,4.0,2.0,9.0, 25,,24.98,10.04,,,,,
1/9/2007,14.0,5.0,2.0,9.0, 24,,25.15,10.07,,,,,
1/9/2007,14.0,6.0,1.9,8.9, 21,,25.39,10.12,,,,,
1/9/2007,14.0,7.0,1.9,8.9, 19,,25.74,10.18,,,,,
1/9/2007,14.0,8.0,1.9,8.8, 18,,25.97,10.21,,,,,
1/9/2007,14.0,9.0,1.9,8.8, 18,,26.13,10.23,,,,,
1/9/2007,14.0,10.0,1.9,8.8, 19,,26.20,10.24,,,,,
1/9/2007,14.0,11.0,1.9,8.8, 22,,26.46,10.27,,,,,
1/9/2007,14.0,12.0,1.9,8.7, 25,,26.96,10.33,,,,,
1/9/2007,14.0,13.0,1.9,8.5, 57,,27.81,10.42,,,,,
1/9/2007,13.0,1.0,2.1,9.4, 26,,21.59,9.86,,,,,
1/9/2007,13.0,2.0,2.1,9.4, 26,,21.56,9.87,,29.71,9.00,1.71,118.11
1/9/2007,13.0,3.0,2.1,9.4, 26,,21.60,9.86,,,,,
1/9/2007,13.0,4.0,2.0,9.2, 29,,23.00,9.88,,,,,
1/9/2007,13.0,5.0,2.0,9.0, 19,,25.39,10.13,,,,,
1/9/2007,13.0,6.0,2.0,8.9, 23,,25.63,10.17,,,,,
1/9/2007,13.0,7.0,2.0,8.9, 24,,25.70,10.17,,,,,
1/9/2007,13.0,8.0,2.1,8.8, 29,,25.91,10.20,,,,,
1/9/2007,13.0,9.0,2.1,8.8, 32,,26.02,10.22,,,,,
1/9/2007,13.0,10.0,2.1,8.8, 36,,26.07,10.22,,,,,
1/9/2007,12.0,1.0,2.0,9.7, 26,,16.47,9.53,,,,,
1/9/2007,12.0,2.0,2.0,9.6, 32,,17.90,9.51,,,,,
1/9/2007,12.0,3.0,2.1,9.4, 38,,20.57,9.65,,,,,
1/9/2007,12.0,4.0,2.1,9.2, 43,,21.82,9.74,,,,,
1/9/2007,12.0,5.0,2.1,9.1, 40,,22.90,9.85,,,,,
1/9/2007,12.0,6.0,2.1,9.1, 39,,23.62,9.92,,,,,
1/9/2007,12.0,7.0,2.0,9.0, 39,,24.11,9.98,,,,,
1/9/2007,12.0,8.0,2.0,8.9, 45,,25.01,10.08,,,,,
